Station,SerialNum,Longitude,Latitude,UTM_E,UTM_N,Elev,JulDayN0,JulDayN1
A088,453014217,85.5908994,27.9188747,361342.15,3089014.194,2458.23,101.1526273,129.0726042
A089,453005582,85.592504,27.9201567,361501.695,3089154.42,2492.27,101.1642245,130.1764468
A090,453005544,85.5924535,27.9210018,361497.807,3089248.103,2464.37,101.1812153,130.1745486
A091,453014096,85.593027,27.9221649,361555.719,3089376.313,2470.7,101.206956,128.545544
A092,453013782,85.5938635,27.923121,361639.259,3089481.297,2482.07,101.216794,129.1090162
A093,453013880,85.5955069,27.9239457,361802.035,3089570.817,2541.48,100.289919,128.0784838
A094,453013506,85.5966128,27.9247973,361911.943,3089663.912,2571.33,101.3443403,128.5584838
A095,453014106,85.5978754,27.925748,362037.401,3089767.816,2602.26,101.3334144,126.4467245
A096,453014264,85.5980957,27.9264006,362059.908,3089839.878,2608.57,101.3256829,127.6639931
A097,453005480,85.5985215,27.9274187,362103.103,3089952.198,2620.24,101.3160301,130.1223958
A098,453012959,85.5985768,27.92819,362109.53,3090037.589,2616.7,101.3064931,127.1178588
A099,453005606,85.5986813,27.9291203,362120.99,3090140.538,2610.12,101.2944329,129.6197106
A100,453012340,85.5987923,27.9299861,362133.009,3090236.333,2599.69,101.2857523,127.4554745
A101,453011973,85.5987607,27.9308976,362131.061,3090337.356,2610.59,101.2751505,128.6029051
A102,453005574,85.5986281,27.9318249,362119.186,3090440.248,2617.43,101.261956,130.0919329
A103,453013887,85.5990654,27.9329439,362163.637,3090563.729,2636.97,101.1371412,128.4104514
A104,453012472,85.5989283,27.9337515,362151.172,3090653.367,2632.38,101.1350347,127.7091782
A105,453005495,85.5992474,27.9346442,362183.702,3090751.91,2635.87,101.1448264,128.2703588
A106,453005773,85.5995774,27.9356213,362217.422,3090859.79,2650.99,101.1556829,129.454294
A107,453013371,85.5992109,27.9365563,362182.544,3090963.791,2652.99,101.1763773,128.4941319
A108,453013847,85.5988365,27.9375047,362146.91,3091069.292,2640.88,101.1934375,127.8856366
A109,453013607,85.5981856,27.9383334,362083.914,3091161.836,2606.35,101.2108681,127.8883449
A110,453013234,85.597605,27.9392873,362027.997,3091268.18,2606.56,101.2279282,128.5570718
A111,453012919,85.5972699,27.9398493,361995.741,3091330.823,2603.19,101.302581,128.8700579
A112,453011774,85.5966977,27.9410614,361940.975,3091465.768,2640.83,101.3211458,128.7669792
A113,453012917,85.5963193,27.9419437,361904.871,3091563.945,2632.4,101.3460995,129.1999653
