# 2023 04 18 00 32 50.939 85.6864  27.5337  14.430  6.36 0 0 0      1
 A011   3.840 1 S
 A029   2.010 1 P
 A027   2.190 1 P
 A027   3.720 1 S
 A010   3.830 1 S
 A048   2.140 1 P
 A048   3.880 1 S
 A030   3.750 1 S
 A049   2.140 1 P
 A049   3.910 1 S
 A047   2.140 1 P
 A047   3.880 1 S
 A050   2.090 1 P
 A041   3.840 1 S
 A041   2.080 1 P
 A000   2.180 1 P
 A000   3.890 1 S
 A002   2.180 1 P
 A002   3.870 1 S
 2D01   3.910 1 S
 2D01   2.140 1 P
 A001   2.180 1 P
 A001   3.880 1 S
 A003   2.180 1 P
 A003   3.890 1 S
 A042   3.870 1 S
 A042   2.080 1 P
 A044   3.890 1 S
 A044   2.100 1 P
 A045   3.910 1 S
 A045   2.130 1 P
 A040   3.780 1 S
 A040   2.080 1 P
 A006   3.860 1 S
 A005   3.860 1 S
 A004   2.160 1 P
 A004   3.840 1 S
 A036   3.790 1 S
 A046   3.880 1 S
 A046   2.150 1 P
 A035   3.730 1 S
 A037   3.830 1 S
 A038   3.740 1 S
 A038   2.140 1 P
 A043   3.840 1 S
 A043   2.120 1 P
 A051   2.160 1 P
 A051   3.980 1 S
 A052   2.140 1 P
 A052   3.930 1 S
 A053   2.140 1 P
 A053   3.940 1 S
 A054   2.140 1 P
 A054   3.960 1 S
 A057   2.120 1 P
 A057   3.910 1 S
 A056   3.930 1 S
 A058   2.140 1 P
 A058   3.920 1 S
 A059   2.140 1 P
 A059   3.950 1 S
 A060   2.150 1 P
 A060   3.950 1 S
 A061   2.160 1 P
 A061   3.990 1 S
 A062   2.170 1 P
 A062   3.990 1 S
 A063   2.180 1 P
 A063   4.010 1 S
 A064   2.190 1 P
 A064   4.070 1 S
 A065   2.200 1 P
 A065   4.060 1 S
 A066   2.180 1 P
 A066   4.050 1 S
 A067   2.180 1 P
 A067   4.060 1 S
 2D16   2.140 1 P
 2D16   3.640 1 S
 A068   2.200 1 P
 A068   4.060 1 S
 A069   2.200 1 P
 A069   4.070 1 S
 2D21   2.850 1 P
 2D21   5.030 1 S
 2D17   2.500 1 P
 2D17   4.430 1 S
 A070   2.180 1 P
 A070   4.020 1 S
 A071   2.210 1 P
 A071   4.060 1 S
 A072   2.220 1 P
 A072   4.110 1 S
 A076   2.260 1 P
 A076   4.210 1 S
 A075   2.250 1 P
 A075   4.230 1 S
 A074   2.240 1 P
 A074   4.190 1 S
 A073   2.220 1 P
 A073   4.130 1 S
 A077   2.260 1 P
 A077   4.230 1 S
 A078   2.250 1 P
 A078   4.170 1 S
 A079   2.250 1 P
 A079   4.150 1 S
 A080   2.260 1 P
 A080   4.150 1 S
 A081   2.280 1 P
 A081   4.190 1 S
 A082   2.280 1 P
 A082   4.170 1 S
 A083   2.260 1 P
 A083   4.130 1 S
 A084   2.250 1 P
 A084   4.090 1 S
 A085   2.250 1 P
 A085   4.110 1 S
 A086   2.280 1 P
 A086   4.110 1 S
 A087   2.280 1 P
 A087   4.130 1 S
 A088   2.250 1 P
 A088   4.090 1 S
 A089   2.290 1 P
 A089   4.150 1 S
 A090   2.280 1 P
 A090   4.130 1 S
 A091   2.290 1 P
 A091   4.150 1 S
 A092   2.290 1 P
 A092   4.170 1 S
 A093   2.330 1 P
 A093   4.260 1 S
 A094   2.340 1 P
 A094   4.300 1 S
 A095   2.380 1 P
 A095   4.510 1 S
 A096   2.380 1 P
 A096   4.420 1 S
 A097   2.380 1 P
 A097   4.320 1 S
 A098   2.380 1 P
 A098   4.350 1 S
 A099   2.380 1 P
 A099   4.340 1 S
 A100   2.380 1 P
 A100   4.290 1 S
 2D20   2.800 1 P
 2D20   4.870 1 S
 A102   2.390 1 P
 A102   4.300 1 S
 A104   2.410 1 P
