# 2023 04 13 00 19  6.761 85.5622  28.1551  10.567  6.21 0 0 0      1
 2D04   4.499 1 S
  C60   4.520 1 S
  C63   2.600 1 P
  C63   4.490 1 S
  C64   2.610 1 P
  C64   4.470 1 S
 2D06   3.560 1 S
 2D06   2.090 1 P
  C67   2.570 1 P
  C67   4.410 1 S
  C68   4.380 1 S
  C70   4.440 1 S
  C71   2.570 1 P
  C71   4.370 1 S
  B33   3.700 1 S
  B33   2.100 1 P
  C73   2.560 1 P
  C73   4.360 1 S
  C76   2.680 1 P
  C76   4.410 1 S
  B34   2.090 1 P
 2D07   2.050 1 P
  B38   2.090 1 P
 2D05   1.890 1 P
# 2023 04 13 05 40 44.208 85.5579  27.5127  10.588  6.17 0 0 0      6
 2D22   2.572 1 P
 2D22   4.792 1 S
 A098   2.042 1 P
 A098   4.022 1 S
 A096   2.052 1 P
 A096   4.042 1 S
  AX6   2.092 1 P
  AX6   3.892 1 S
 A088   1.922 1 P
 A088   3.782 1 S
 A086   1.982 1 P
 A084   3.822 1 S
 A084   1.932 1 P
 A133   2.342 1 P
 A083   1.932 1 P
 A082   3.902 1 S
 A082   1.982 1 P
 A081   3.932 1 S
 A081   1.962 1 P
 A141   2.462 1 P
 A070   3.782 1 S
 A155   2.562 1 P
 A156   2.582 1 P
 A156   4.822 1 S
 A157   2.572 1 P
 A159   2.622 1 P
 A067   1.942 1 P
 A067   3.772 1 S
 A161   2.652 1 P
 A161   4.952 1 S
 A162   2.652 1 P
 A163   2.652 1 P
 A164   2.662 1 P
 A164   5.022 1 S
 A165   5.432 1 S
 A004   3.492 1 S
 A001   3.492 1 S
  BX1   3.352 1 S
  B20   2.492 1 S
 2D06   3.952 1 S
 2D06   2.142 1 P
  B31   1.742 1 P
 2D07   2.052 1 P
 2D07   3.882 1 S
 2D03   2.222 1 P
 2D12   2.402 1 P
 2D12   4.462 1 S
# 2023 04 13 08 30 26.055 85.5087  28.1726  18.257  7.38 0 0 0      7
 2D13   3.675 1 P
 2D13   6.475 1 S
 2D15   3.515 1 P
 2D15   6.155 1 S
 2D08   2.785 1 P
 2D08   4.995 1 S
 2D04   3.315 1 P
 2D04   6.025 1 S
 2D03   3.725 1 P
 2D03   6.825 1 S
  C79   2.935 1 P
  C79   5.135 1 S
  C78   2.935 1 P
  C78   5.165 1 S
  C80   2.925 1 P
  C80   5.115 1 S
  C81   2.915 1 P
  C81   5.125 1 S
 2D05   3.105 1 P
 2D05   5.655 1 S
  C77   2.965 1 P
  C77   5.225 1 S
  C75   2.965 1 P
  C75   5.205 1 S
  C76   2.975 1 P
  C76   5.245 1 S
  C74   2.955 1 P
  C74   5.215 1 S
  C73   2.955 1 P
  C73   5.195 1 S
  C72   2.985 1 P
  C72   5.215 1 S
  B41   3.565 1 P
  B41   6.145 1 S
 2D07   3.025 1 P
 2D07   5.515 1 S
  B42   3.445 1 P
  B42   6.265 1 S
  C71   2.995 1 P
  C71   5.215 1 S
  B38   3.475 1 P
  B38   6.105 1 S
  C70   3.035 1 P
  C70   5.365 1 S
  B37   3.525 1 P
  B37   6.135 1 S
  C69   3.015 1 P
  C69   5.285 1 S
  C68   3.015 1 P
  C68   5.345 1 S
  C65   3.035 1 P
  C65   5.395 1 S
  B35   6.165 1 S
  C64   3.055 1 P
  C64   5.395 1 S
  B34   6.185 1 S
 2D06   2.895 1 P
 2D06   5.175 1 S
  C63   3.055 1 P
  C63   5.435 1 S
  B31   3.525 1 P
  C62   3.045 1 P
  C62   5.435 1 S
  C61   3.075 1 P
  C61   5.525 1 S
  B26   6.325 1 S
  B26   3.585 1 P
  C60   3.095 1 P
  C60   5.535 1 S
  C59   3.095 1 P
  C59   5.545 1 S
  C58   3.105 1 P
  C58   5.505 1 S
  BX3   3.595 1 P
  BX3   6.305 1 S
  C57   3.115 1 P
  C57   5.555 1 S
  C56   3.115 1 P
  C56   5.585 1 S
  C55   3.125 1 P
  C55   5.515 1 S
  C54   3.165 1 P
  C54   5.625 1 S
  C53   3.155 1 P
  C53   5.665 1 S
  C52   3.155 1 P
  C52   5.635 1 S
  B13   6.375 1 S
  B13   3.615 1 P
  C51   3.165 1 P
  C51   5.665 1 S
  C50   3.175 1 P
  C50   5.595 1 S
  B10   6.465 1 S
  B10   3.685 1 P
  C49   3.195 1 P
  C49   5.705 1 S
  B09   6.705 1 S
  B09   3.735 1 P
  C48   3.205 1 P
  C48   5.625 1 S
 2D09   5.665 1 S
 2D09   3.135 1 P
  B07   6.705 1 S
  C47   3.205 1 P
  C47   5.665 1 S
  C46   5.775 1 S
  C45   5.795 1 S
  C45   3.215 1 P
  C44   5.785 1 S
  C44   3.235 1 P
 A011   3.905 1 P
  C43   5.755 1 S
  C43   3.215 1 P
  C25   5.695 1 S
  C25   3.255 1 P
  C42   5.715 1 S
