# 2023 04 12 00 30 33.397 85.3933  28.3791  37.190  7.68 0 0 0      1
  C65   4.593 1 S
 2D06   2.193 1 P
 2D06   3.863 1 S
  C68   2.663 1 P
  C68   4.613 1 S
  C71   2.693 1 P
  C71   4.573 1 S
  C73   2.673 1 P
  C73   4.583 1 S
 2D07   2.233 1 P
 2D05   3.863 1 S
 2D05   2.153 1 P
 2D08   2.553 1 P
 2D04   2.553 1 P
# 2023 04 12 03 42 13.380 85.7118  27.6001  31.322  6.99 0 0 0      5
 2D22   5.100 1 P
 2D22   9.450 1 S
 2D19   4.710 1 P
 2D19   8.470 1 S
 A158   5.880 1 P
 A160   5.930 1 P
 A160  10.890 1 S
 A145  10.660 1 S
 A145   5.810 1 P
 A146  10.780 1 S
 A146   5.860 1 P
 A147  10.820 1 S
 A147   5.850 1 P
 A157  10.900 1 S
 A157   5.880 1 P
 A161   5.960 1 P
 A161  11.060 1 S
 A156  10.890 1 S
 A156   5.880 1 P
 A159   5.910 1 P
 A162   5.940 1 P
 A162  10.940 1 S
 A144   5.810 1 P
 A143  10.680 1 S
 A143   5.970 1 P
 A155   5.800 1 P
 A155  10.810 1 S
 A148   6.000 1 P
 A148  10.840 1 S
  AX6   5.340 1 P
  AX6   9.610 1 S
 A141  10.500 1 S
 A141   5.910 1 P
 A154   5.900 1 P
 A154  10.810 1 S
 A140  10.520 1 S
 A140   5.870 1 P
 A142   5.870 1 P
 A139   5.800 1 P
 A139  10.500 1 S
 A153   5.970 1 P
 A153  10.820 1 S
 A164   6.140 1 P
 A108   9.580 1 S
 A108   5.250 1 P
 A107   9.570 1 S
 A107   5.160 1 P
 A106   9.580 1 S
 A106   5.170 1 P
 A137  10.540 1 S
  AX5   5.170 1 P
  AX5   9.500 1 S
 A109   5.410 1 P
 A152  10.810 1 S
 A152   6.050 1 P
 A151   6.030 1 P
 A133   5.870 1 P
 A134  10.360 1 S
 A134   5.840 1 P
 A149   6.060 1 P
 A149  11.130 1 S
 A110   5.380 1 P
 A110   9.560 1 S
 A135   5.860 1 P
 A165   6.040 1 P
 A165  11.130 1 S
 A136   5.800 1 P
 A111   5.340 1 P
 A150   5.890 1 P
 A150  10.660 1 S
 A166   6.290 1 P
 A166  11.330 1 S
 A167   6.130 1 P
 A168   6.290 1 P
 A101   9.430 1 S
 A100   9.550 1 S
 A100   5.060 1 P
 A169   6.220 1 P
 A099   5.060 1 P
 A099   9.460 1 S
 A098   5.070 1 P
 A098   9.610 1 S
 A097   5.130 1 P
 A097   9.690 1 S
  AX1   6.180 1 P
 A170   6.060 1 P
  AX2   6.490 1 P
 A176   6.500 1 P
 A096   5.070 1 P
 A096   9.490 1 S
 A175   6.200 1 P
